172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/vendor/js/bootstrap.js HTTP/1.1" 200 353659 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/vendor/libs/axios/axios.min.js HTTP/1.1" 200 54147 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/vendor/js/menu.js HTTP/1.1" 200 26161 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/js/main.js HTTP/1.1" 200 3846 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/vendor/libs/typeahead-js/typeahead.js HTTP/1.1" 200 40253 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/vendor/libs/hammer/hammer.js HTTP/1.1" 200 21150 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/muti/logo_header.png HTTP/1.1" 200 45566 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/muti/web_icon.png HTTP/1.1" 200 1135 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/vendor/fonts/boxicons/boxicons.woff2 HTTP/1.1" 200 115680 "http://localhost:81/assets/vendor/fonts/boxicons.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:58:07 +0000] "POST /login HTTP/1.1" 419 6628 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:58:07 +0000] "GET /favicon.ico HTTP/1.1" 200 0 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:58:16 +0000] "GET /login HTTP/1.1" 200 6800 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:58:25 +0000] "POST /login HTTP/1.1" 302 374 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:59:11 +0000] "GET /dashboard HTTP/1.1" 500 341382 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:01:23 +0000] "GET /dashboard HTTP/1.1" 500 341387 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:04:02 +0000] "GET /dashboard HTTP/1.1" 500 341378 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:04:59 +0000] "GET /dashboard HTTP/1.1" 500 340423 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:06:08 +0000] "GET /dashboard HTTP/1.1" 500 340436 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:07:45 +0000] "GET /dashboard HTTP/1.1" 500 341349 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:08:45 +0000] "GET /dashboard HTTP/1.1" 500 397773 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:10:35 +0000] "GET /dashboard HTTP/1.1" 502 157 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:10:37 +0000] "GET /dashboard HTTP/1.1" 502 157 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:10:37 +0000] "GET /dashboard HTTP/1.1" 502 157 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:10:40 +0000] "GET / HTTP/1.1" 502 157 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:10:44 +0000] "GET / HTTP/1.1" 502 157 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:12:24 +0000] "GET / HTTP/1.1" 302 358 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:12:31 +0000] "GET /login HTTP/1.1" 302 374 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:13:18 +0000] "GET /dashboard HTTP/1.1" 500 340456 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:21:45 +0000] "GET /api/v1/devices HTTP/1.1" 500 296945 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:27:16 +0000] "GET /api/v1/devices HTTP/1.1" 499 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:28:07 +0000] "GET /dashboard HTTP/1.1" 500 340435 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:28:29 +0000] "GET /favicon.ico HTTP/1.1" 200 0 "http://localhost:81/dashboard" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:29:57 +0000] "GET /api/v1/devices HTTP/1.1" 500 296922 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:32:46 +0000] "GET /dashboard HTTP/1.1" 500 340408 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.21.0.3 - - [02/Oct/2024:16:34:54 +0000] "GET /api/v1/devices HTTP/1.1" 499 0 "-" "GuzzleHttp/7" "-"
172.21.0.3 - - [02/Oct/2024:16:34:55 +0000] "GET / HTTP/1.1" 302 346 "-" "curl/8.9.0" "-"
172.20.0.1 - - [02/Oct/2024:16:35:17 +0000] "GET /dashboard HTTP/1.1" 504 167 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:35:50 +0000] "GET /dashboard HTTP/1.1" 499 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.21.0.3 - - [02/Oct/2024:16:36:04 +0000] "GET /api/v1/devices HTTP/1.1" 500 285439 "-" "GuzzleHttp/7" "-"
